32767,0
-5196,-14522
4568,-3749
-1833,-1098
819,-4118
1276,-189
-941,-1760
1509,-1665
0,0
87,-1768
1176,-357
-363,-490
819,-1226
510,128
-89,-909
1019,-482
0,0
437,-923
746,73
-95,-379
819,-547
294,218
191,-629
836,-41
0,0
596,-540
534,285
47,-320
819,-163
163,272
369,-450
713,255
0,0
713,-255
369,450
163,-272
819,163
47,320
534,-285
596,540
0,0
836,41
191,629
294,-218
819,547
-95,379
746,-73
437,923
0,0
1019,482
-89,909
510,-128
819,1226
-363,490
1176,357
87,1768
0,0
1509,1665
-941,1760
1276,189
819,4118
-1833,1098
4568,3749
-5196,14522
